15:25:31.807838 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 523416:523612, ack 253, win 501, length 196
15:25:31.837609 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 582296:582492, ack 289, win 501, length 196
15:25:31.837642 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 582492:582688, ack 289, win 501, length 196
15:25:31.837676 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 582688:582884, ack 289, win 501, length 196
15:25:31.837729 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 582884:583080, ack 289, win 501, length 196
15:25:31.837776 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 583080:583276, ack 289, win 501, length 196
15:25:31.837813 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 583276:583472, ack 289, win 501, length 196
15:25:31.837848 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 583472:583668, ack 289, win 501, length 196
15:25:31.837883 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 583668:583864, ack 289, win 501, length 196
15:25:31.837919 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 583864:584060, ack 289, win 501, length 196
15:25:31.837953 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 584060:584256, ack 289, win 501, length 196
15:25:31.837988 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 584256:584452, ack 289, win 501, length 196
15:25:31.838029 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 584452:584648, ack 289, win 501, length 196
15:25:31.838068 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 584648:584844, ack 289, win 501, length 196
15:25:31.838106 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 584844:585040, ack 289, win 501, length 196
15:25:31.838144 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 585040:585236, ack 289, win 501, length 196
15:25:31.838179 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 585236:585432, ack 289, win 501, length 196
15:25:31.838217 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 585432:585628, ack 289, win 501, length 196
15:25:31.838256 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 585628:585824, ack 289, win 501, length 196
15:25:31.838295 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 585824:586020, ack 289, win 501, length 196
15:25:31.838329 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 586020:586216, ack 289, win 501, length 196
15:25:31.838368 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 586216:586412, ack 289, win 501, length 196
15:25:31.838406 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 586412:586608, ack 289, win 501, length 196
15:25:31.838440 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 586608:586804, ack 289, win 501, length 196
15:25:31.838478 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 586804:587000, ack 289, win 501, length 196
15:25:31.838512 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 587000:587196, ack 289, win 501, length 196
15:25:31.838549 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 587196:587392, ack 289, win 501, length 196
15:25:31.838585 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 587392:587588, ack 289, win 501, length 196
15:25:31.838619 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 587588:587784, ack 289, win 501, length 196
15:25:31.838658 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 587784:587980, ack 289, win 501, length 196
15:25:31.838696 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 587980:588176, ack 289, win 501, length 196
15:25:31.838735 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 588176:588372, ack 289, win 501, length 196
15:25:31.838771 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 588372:588568, ack 289, win 501, length 196
15:25:31.838807 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 588568:588764, ack 289, win 501, length 196
15:25:31.838842 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 588764:588960, ack 289, win 501, length 196
15:25:31.838876 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 588960:589156, ack 289, win 501, length 196
15:25:31.838914 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 589156:589352, ack 289, win 501, length 196
15:25:31.838950 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 589352:589548, ack 289, win 501, length 196
15:25:31.838996 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 589548:589744, ack 289, win 501, length 196
15:25:31.839031 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 589744:589940, ack 289, win 501, length 196
15:25:31.839067 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 589940:590136, ack 289, win 501, length 196
15:25:31.839102 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 590136:590332, ack 289, win 501, length 196
15:25:31.839139 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 590332:590528, ack 289, win 501, length 196
15:25:31.839174 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 590528:590724, ack 289, win 501, length 196
15:25:31.839211 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 590724:590920, ack 289, win 501, length 196
15:25:31.839247 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 590920:591116, ack 289, win 501, length 196
15:25:31.839287 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 591116:591312, ack 289, win 501, length 196
15:25:31.839327 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 591312:591508, ack 289, win 501, length 196
15:25:31.839365 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 591508:591704, ack 289, win 501, length 196
15:25:31.839402 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 591704:591900, ack 289, win 501, length 196
15:25:31.839437 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 591900:592096, ack 289, win 501, length 196
15:25:31.839474 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 592096:592292, ack 289, win 501, length 196
15:25:31.839510 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 592292:592488, ack 289, win 501, length 196
15:25:31.839549 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 592488:592684, ack 289, win 501, length 196
15:25:31.839587 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 592684:592880, ack 289, win 501, length 196
15:25:31.839623 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 592880:593076, ack 289, win 501, length 196
15:25:31.839660 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 593076:593272, ack 289, win 501, length 196
15:25:31.839697 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 593272:593468, ack 289, win 501, length 196
15:25:31.839734 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 593468:593664, ack 289, win 501, length 196
15:25:31.839768 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 593664:593860, ack 289, win 501, length 196
15:25:31.839805 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 593860:594056, ack 289, win 501, length 196
15:25:31.839841 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 594056:594252, ack 289, win 501, length 196
15:25:31.839878 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 594252:594448, ack 289, win 501, length 196
15:25:31.839916 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 594448:594644, ack 289, win 501, length 196
15:25:31.839952 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 594644:594840, ack 289, win 501, length 196
15:25:31.839989 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 594840:595036, ack 289, win 501, length 196
15:25:31.840024 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 595036:595232, ack 289, win 501, length 196
15:25:31.840061 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 595232:595428, ack 289, win 501, length 196
15:25:31.840095 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 595428:595624, ack 289, win 501, length 196
15:25:31.840138 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 595624:595820, ack 289, win 501, length 196
15:25:31.840178 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 595820:596016, ack 289, win 501, length 196
15:25:31.840213 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 596016:596212, ack 289, win 501, length 196
15:25:31.840250 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 596212:596408, ack 289, win 501, length 196
15:25:31.840286 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 596408:596604, ack 289, win 501, length 196
15:25:31.840323 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 596604:596800, ack 289, win 501, length 196
15:25:31.840362 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 596800:596996, ack 289, win 501, length 196
15:25:31.840401 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 596996:597192, ack 289, win 501, length 196
15:25:31.840437 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 597192:597388, ack 289, win 501, length 196
15:25:31.840477 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 597388:597584, ack 289, win 501, length 196
15:25:31.840513 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 597584:597780, ack 289, win 501, length 196
15:25:31.840547 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 597780:597976, ack 289, win 501, length 196
15:25:31.840585 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 597976:598172, ack 289, win 501, length 196
15:25:31.840629 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 598172:598368, ack 289, win 501, length 196
15:25:31.840683 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 598368:598564, ack 289, win 501, length 196
15:25:31.840743 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 598564:598760, ack 289, win 501, length 196
15:25:31.840785 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 598760:598956, ack 289, win 501, length 196
15:25:31.840823 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 598956:599152, ack 289, win 501, length 196
15:25:31.840861 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 599152:599348, ack 289, win 501, length 196
15:25:31.840897 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 599348:599544, ack 289, win 501, length 196
15:25:31.840932 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 599544:599740, ack 289, win 501, length 196
15:25:31.840978 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 599740:599936, ack 289, win 501, length 196
15:25:31.841021 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 599936:600132, ack 289, win 501, length 196
15:25:31.841061 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 600132:600328, ack 289, win 501, length 196
15:25:31.841099 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 600328:600524, ack 289, win 501, length 196
15:25:31.841136 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 600524:600720, ack 289, win 501, length 196
15:25:31.841172 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 600720:600916, ack 289, win 501, length 196
15:25:31.841207 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 600916:601112, ack 289, win 501, length 196
15:25:31.841244 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 601112:601308, ack 289, win 501, length 196
15:25:31.841280 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 601308:601504, ack 289, win 501, length 196
15:25:31.841317 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 601504:601700, ack 289, win 501, length 196
15:25:31.841353 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 601700:601896, ack 289, win 501, length 196
15:25:31.841391 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 601896:602092, ack 289, win 501, length 196
15:25:31.841429 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 602092:602288, ack 289, win 501, length 196
15:25:31.841465 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 602288:602484, ack 289, win 501, length 196
15:25:31.841503 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 602484:602680, ack 289, win 501, length 196
15:25:31.841539 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 602680:602876, ack 289, win 501, length 196
15:25:31.841573 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 602876:603072, ack 289, win 501, length 196
15:25:31.841611 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 603072:603268, ack 289, win 501, length 196
15:25:31.841652 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 603268:603464, ack 289, win 501, length 196
15:25:31.841689 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 603464:603660, ack 289, win 501, length 196
15:25:31.841727 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 603660:603856, ack 289, win 501, length 196
15:25:31.841764 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 603856:604052, ack 289, win 501, length 196
15:25:31.841812 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 604052:604248, ack 289, win 501, length 196
15:25:31.841848 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 604248:604444, ack 289, win 501, length 196
15:25:31.841897 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 604444:604640, ack 289, win 501, length 196
15:25:31.841932 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 604640:604836, ack 289, win 501, length 196
15:25:31.841965 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 604836:605032, ack 289, win 501, length 196
15:25:31.842001 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 605032:605228, ack 289, win 501, length 196
15:25:31.842038 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 605228:605424, ack 289, win 501, length 196
15:25:31.849586 IP cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054 > Comp3134.ssh: Flags [.], ack 544760, win 16504, length 0
15:25:31.849616 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 605424:605620, ack 289, win 501, length 196
15:25:31.849733 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 605620:605960, ack 289, win 501, length 340
15:25:31.849788 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 605960:606156, ack 289, win 501, length 196
15:25:31.849828 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 606156:606352, ack 289, win 501, length 196
15:25:31.849866 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 606352:606548, ack 289, win 501, length 196
15:25:31.849904 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 606548:606744, ack 289, win 501, length 196
15:25:31.849942 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 606744:606940, ack 289, win 501, length 196
15:25:31.849980 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 606940:607136, ack 289, win 501, length 196
15:25:31.850019 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 607136:607332, ack 289, win 501, length 196
15:25:31.850056 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 607332:607528, ack 289, win 501, length 196
15:25:31.850094 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 607528:607724, ack 289, win 501, length 196
15:25:31.866330 IP cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054 > Comp3134.ssh: Flags [P.], seq 289:325, ack 575436, win 16504, length 36
15:25:31.866427 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 607724:607920, ack 325, win 501, length 196
15:25:31.866549 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 607920:608268, ack 325, win 501, length 348
15:25:31.866591 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 608268:608464, ack 325, win 501, length 196
15:25:31.866630 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 608464:608660, ack 325, win 501, length 196
15:25:31.866669 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 608660:608856, ack 325, win 501, length 196
15:25:31.866705 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 608856:609052, ack 325, win 501, length 196
15:25:31.866743 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 609052:609248, ack 325, win 501, length 196
15:25:31.866781 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 609248:609444, ack 325, win 501, length 196
15:25:31.866816 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 609444:609640, ack 325, win 501, length 196
15:25:31.866855 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 609640:609836, ack 325, win 501, length 196
15:25:31.866894 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 609836:610032, ack 325, win 501, length 196
15:25:31.866933 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 610032:610228, ack 325, win 501, length 196
15:25:31.866970 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 610228:610424, ack 325, win 501, length 196
15:25:31.867008 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 610424:610620, ack 325, win 501, length 196
15:25:31.867043 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 610620:610816, ack 325, win 501, length 196
15:25:31.867081 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 610816:611012, ack 325, win 501, length 196
15:25:31.867116 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 611012:611208, ack 325, win 501, length 196
15:25:31.867154 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 611208:611404, ack 325, win 501, length 196
15:25:31.867188 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 611404:611600, ack 325, win 501, length 196
15:25:31.867223 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 611600:611796, ack 325, win 501, length 196
15:25:31.867262 IP Comp3134.ssh > cpe1033bf982cdf-cm1033bf982cdd.cpe.net.cable.rogers.com.65054: Flags [P.], seq 611796:611992, ack 325, win 501, length 196
